caller	call_address	first_argument_push	push_span_bytes	arg_0_x	arg_4_y	arg_8_width	arg_C_height	arg_10_flags	arg_14_auxiliary	flags_immediate	low_flags	mode	flip_bits	family_selection
sub_450400	0x00450486	0x00450485	42	eax	edx	ecx	edx	ecx	edx					runtime/unresolved
sub_450490	0x004504CF	0x004504CE	21	ecx	eax	ecx	edx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4504E0	0x0045051A	0x00450519	25	eax	edx	ecx	edx	0	ecx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450530	0x0045056A	0x00450569	19	ebx	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450530	0x0045059F	0x0045059E	13	ebx	edi	ecx	edx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4505B0	0x004505EA	0x004505E9	19	ebx	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4505B0	0x0045061F	0x0045061E	13	ebx	edi	ecx	edx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450630	0x0045066A	0x00450669	19	ebx	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450630	0x004506A1	0x004506A0	26	ebx	edi	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4506B0	0x0045077C	0x0045077B	23	ebx	eax	edx	ecx	0	edx	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_450900	0x00450991	0x00450990	35	ecx	eax	edx	ecx	0	eax	0x00000000	0x0000	0x00	0	source header selects RLE/span or raw/+0x80
sub_4509D0	0x00450A3F	0x00450A3E	27	eax	edx	ecx	edx	ecx	0					runtime/unresolved
sub_450A50	0x00450A71	0x00450A70	21	ecx	eax	edx	ecx	8	0	0x00000008	0x0008	0x08	0	source header selects RLE/span or raw/+0x80
sub_450A80	0x00450B19	0x00450B18	46	edx	eax	ecx	ecx	ecx	0					runtime/unresolved
sub_450B60	0x00450BC2	0x00450BC1	27	ecx	eax	edx	ecx	edx	0					runtime/unresolved
